Ice Shelf Name;Grounding line flux;;;;;;;;;;
;Gt/yr;;;;;;;;;;
Larsen G;0.9;;;;;;;;;;
Larsen F;1.5;;;;;;;;;;
Larsen E;3.6;;;;;;;;;;
Larsen D;18.5;;;;;;;;;;
Larsen C;29.6;;;;;;;;;;
Larsen B;13.6;;;;;;;;;;
Wordie;13.8;;;;;;;;;;
Wilkins;7.8;;;;;;;;;;
Bach;5.4;;;;;;;;;;
George VI;68.2;;;;;;;;;;
Stange;21.0;;;;;;;;;;
Ronne;156.1;;;;;;;;;;
Ferrigno;11.0;;;;;;;;;;
Venable;14.6;;;;;;;;;;
Abbot;34.0;;;;;;;;;;
Cosgrove;5.2;;;;;;;;;;
Pine Island;126.4;;;;;;;;;;
Thwaites;113.5;;;;;;;;;;
Crosson;27.4;;;;;;;;;;
Dotson;28.4;;;;;;;;;;
Getz;96.7;;;;;;;;;;
Land;14.5;;;;;;;;;;
Nickerson;7.8;;;;;;;;;;
Sulzberger;15.1;;;;;;;;;;
Swinburne;4.9;;;;;;;;;;
Withrow;1.3;;;;;;;;;;
Ross West;73.0;;;;;;;;;;
Ross East [7];56.1;;;;;;;;;;
Drygalski;9.6;;;;;;;;;;
Nansen;1.3;;;;;;;;;;
Aviator;1.1;;;;;;;;;;
Mariner;2.5;;;;;;;;;;
Lillie;3.6;;;;;;;;;;
Rennick;4.8;;;;;;;;;;
Cook;36.0;;;;;;;;;;
Ninnis;27.6;;;;;;;;;;
Mertz;20.0;;;;;;;;;;
Dibble;12.5;;;;;;;;;;
Holmes;26.0;;;;;;;;;;
Moscow Univ.;52.3;;;;;;;;;;
Totten;71.0;;;;;;;;;;
Vincennes Bay;12.7;;;;;;;;;;
Conger/Glenzer;1.7;;;;;;;;;;
Tracy Tremenchus;0.6;;;;;;;;;;
Shackleton;55.0;;;;;;;;;;
West;41.9;;;;;;;;;;
Publications;5.8;;;;;;;;;;
Amery;56.0;;;;;;;;;;
Wilma/Robert/Downer;10.3;;;;;;;;;;
Edward VIII;4.1;;;;;;;;;;
Rayner/Thyer;14.2;;;;;;;;;;
Shirase;15.0;;;;;;;;;;
Prince Harald;8.3;;;;;;;;;;
Roi Baudouin;22.0;;;;;;;;;;
Borchgrevink;19.6;;;;;;;;;;
Lazarev;3.7;;;;;;;;;;
Nivl;3.9;;;;;;;;;;
Vigrid;2.7;;;;;;;;;;
Fimbul;24.9;;;;;;;;;;
Jelbart;9.9;;;;;;;;;;
Atka;0.9;;;;;;;;;;
Ekstrom;4.1;;;;;;;;;;
Quar;1.0;;;;;;;;;;
Riiser-Larsen;21.5;;;;;;;;;;
Stancomb Brunt;20.3;;;;;;;;;;
Filchner;97.7;;;;;;;;;;
Filchner-Ronne;253.8;;;;;;;;;;
Ross;129.1;;;;;;;;;;
;;;;;;;;;;;
